company,date,title,body,url,image,source
"Rosy Wellness",2025-06-04T08:07:00+00:00,Daré Bioscience partners with Rosy Wellness for new women's health cream,"Rosy Wellness, with its community of over 250,000 women and recommendation by more than 8,000 healthcare professionals, will leverage its digital reach and content-driven model to support the launch.",https://www.investing.com/news/company-news/dare-bioscience-partners-with-rosy-wellness-for-new-womens-health-cream-93CH-4080414,,Investing
"De Oro Devices",2024-01-18T17:05:00+00:00,"De Oro Devices Names Cori Lathan, PhD, as New CEO","Dr. Lathan joins De Oro Devices from her previous role as CEO at AnthroTronix, where she successfully invented, developed, and commercialized medical technology for over 20 years before leading ...",https://finance.yahoo.com/news/oro-devices-names-cori-lathan-220500791.html,,Yahoo Finance
"De Oro Devices",2023-01-25T00:00:00+00:00,New device helps Clovis veteran with Parkinson's walk again,"CLOVIS, Calif. (KFSN) -- The simple act of walking can be challenging for those living with Parkinson's disease, which affects movement. However, a Clovis veteran is now on the move with the help ...",https://abc30.com/parkinsons-disease-nexstride-device-de-oro-devices-clovis-veteran-able-to-walk/12728394/,,ABC30 Action News
"Partum Health",2023-06-04T13:56:00+00:00,Partum Health,"Partum Health, a maternal health startup, recently won the consumer/employer track of the MedCity News INVEST Pitch Perfect contest. The direct-to-consumer company supports families during ...",https://medcitynews.com/tag/partum-health/,,MedCity News
"Partum Health",2023-06-03T23:59:00+00:00,INVEST Pitch Perfect Spotlight: How Partum Health Is Working To Transform Maternal Healthcare,"Meghan Doyle, co-founder and CEO of Partum Health, was working at a consulting firm in the healthcare sector when she first became a mom. It was during this time that she realized how confusing ...",https://medcitynews.com/2023/06/maternal-healthcare-postpartum-birth-fertility/,,MedCity News
"Fort Health",2024-11-18T00:00:00+00:00,"At Fort Health, My Teen Finally Found a Therapist He Doesn't Hate","Everyday Health independently vets all recommended products. If you purchase a featured product, we may be compensated. Learn why you can trust us. Everyday Health independently vets all ...",https://www.everydayhealth.com/emotional-health/fort-health-review/,,Everyday Health
"Fort Health",2023-02-09T21:49:00+00:00,Fort Health,"Fort Health, a new startup built at Redesign Health, recently launched as a provider of mental healthcare services for children. The company has developed a telehealth-based mental health clinic ...",https://medcitynews.com/tag/fort-health/,,MedCity News
"RubyWell","2025-06-11","No news",,,,
"Atlantic Sea Farms",2022-03-16T00:00:00+00:00,Can Small Seaweed Farms Help Kelp Scale Up?,"Atlantic Sea Farms, the first commercial edible seaweed farm in the U.S.—founded in 2006 under the name Ocean Approved—is poised to take advantage of the moment. When Briana Warner, 37, took over as CEO in mid-2018, the Maine-based company was ...",https://civileats.com/2022/03/16/can-small-seaweed-farms-help-kelp-scale-up/,,Civil Eats
"Atlantic Sea Farms",2019-04-17T00:00:00+00:00,"With new retail products, Atlantic Sea Farms seeks to expand kelp market","Atlantic Sea Farms A kelp farm can produce three to seven pounds per foot of line. With up to 18,000 feet of line in the water, ""that's a lot of kelp,"" said Atlantic Sea Farms CEO Briana Warner.",https://www.mainebiz.biz/article/with-new-retail-products-atlantic-sea-farms-seeks-to-expand-kelp-market,,Mainebiz
"VidaFuel",2018-05-29T13:18:00+00:00,"Jumpstart Foundry announces 2018 portfolio, brings startups to Nashville","Jumpstart Foundry brought 13 health care startups to Music City for two days of health care industry networking. Jumpstart Foundry announced its 2018 investment portfolio Tuesday, but the process ...",https://www.bizjournals.com/nashville/news/2018/05/29/jumpstart-foundry-announces-2018-portfolio-brings.html,,The Business Journals
"VidaFuel",2020-10-30T00:00:00+00:00,Vidafuel Nutrition Closes Oversubscribed $1.075 Million Financing to Advance its Clinical Nutrition Brand,"Vidafuel, a company developing next-generation clinical nutrition products for use at-home and in the healthcare setting, announced it has closed an oversubscribed $1.075 million financing.",https://www.digitaljournal.com/pr/4861343,,Digital Journal
"Aloqia",2025-04-03T02:18:00+00:00,Shein increases use of deadstock fabric by 40% in 2024,"Since 2022, Shein has sourced over 47,900 metres of deadstock fabric through Aloqia, leading to estimated savings of 357,600 cubic metres of water, 7,400 kilograms of chemicals, and 70 metric tons ...",https://www.msn.com/en-xl/news/other/shein-increases-use-of-deadstock-fabric-by-40-in-2024/ar-AA1CbCXN,,MSN
"Refiberd",2025-06-09T11:59:49+00:00,Refiberd scores $200k PDS Ventures investment on GFA Trailblazer win,"Refiberd has been named the recipient of the Global Fashion Agenda Trailblazer Programme 2025 award, securing an investment of up to $200,000 from PDS Ventures.",https://www.msn.com/en-us/money/technologyinvesting/refiberd-scores-200k-pds-ventures-investment-on-gfa-trailblazer-win/ar-AA1Go12T,https://img-s-msn-com.akamaized.net/tenant/amp/entityid/AA1Go37I.img?w=1440&h=810&m=4&q=81,Just Style
"Refiberd",2025-06-06T16:51:03+00:00,Refiberd Wins Trailblazer 2025 With AI-Powered Textile Recycling,AI-powered textile recycling startup Refiberd won the Global Fashion Agenda's second Trailblazer Programme award.,https://www.msn.com/en-us/lifestyle/lifestyle-buzz/refiberd-wins-trailblazer-2025-with-ai-powered-textile-recycling/ar-AA1GeqUb,,Sourcing Journal
"Jiminy's",2022-09-13T00:00:00+00:00,Pets eat a lot of meat. Insects could lower their carbon pawprint.,"Here's How Anne Carlson, the founder and CEO of Jiminy's, discovered this when she began experimenting with bringing insect protein to the pet food industry. She started with cricket treats ...",https://grist.org/food/sustainable-cricket-dog-food-jiminys/,,Grist
"Jiminy's",2020-02-19T00:00:00+00:00,My Dog Loves These Cricket Protein Treats More Than She Loves Me,"That seems more like something you do for a pet snake than a toy poodle. But when a bag of Jiminy's cricket treats were sent to the office by a publicist, I decided to bring them home.",https://nymag.com/strategist/article/jiminys-cricket-treats-review.html,,New York Magazine
"Aeromutable","2025-06-11","No news",,,,
