company,date,title,body,url,image,source
"De Oro Devices",2023-01-25T00:00:00+00:00,New device helps Clovis veteran with Parkinson's walk again,"CLOVIS, Calif. (KFSN) -- The simple act of walking can be challenging for those living with Parkinson's disease, which affects movement. However, a Clovis veteran is now on the move with the help ...",https://abc30.com/parkinsons-disease-nexstride-device-de-oro-devices-clovis-veteran-able-to-walk/12728394/,,ABC30 Action News
"Partum Health",2023-06-03T23:59:00+00:00,INVEST Pitch Perfect Spotlight: How Partum Health Is Working To Transform Maternal Healthcare,"Meghan Doyle, co-founder and CEO of Partum Health, was working at a consulting firm in the healthcare sector when she first became a mom. It was during this time that she realized how confusing ...",https://medcitynews.com/2023/06/maternal-healthcare-postpartum-birth-fertility/,,MedCity News
"Partum Health",2023-06-04T13:56:00+00:00,Partum Health,"Partum Health, a maternal health startup, recently won the consumer/employer track of the MedCity News INVEST Pitch Perfect contest. The direct-to-consumer company supports families during ...",https://medcitynews.com/tag/partum-health/,,MedCity News
"Fort Health",2024-11-18T16:13:00+00:00,"At Fort Health, My Teen Finally Found a Therapist He Doesn't Hate","At Fort Health, My Teen Finally Found a Therapist He Doesn't Hate Story by Olivia Campbell • 1h W hen you have social anxiety, counseling itself is a form of exposure therapy.",https://www.msn.com/en-us/health/other/at-fort-health-my-teen-finally-found-a-therapist-he-doesn-t-hate/ar-AA1uiCeX,,MSN
"Fort Health",2023-02-08T09:00:00+00:00,Fort Health - a New Model to Tackle the Youth Mental Health Crisis in Partnership with Pediatricians,"NEW YORK--(BUSINESS WIRE)--Fort Health, Inc., built in partnership with the Child Mind Institute, the leading independent nonprofit in children's mental health, announces a new virtual mental ...",https://www.businesswire.com/news/home/20230208005244/en/Fort-Health-a-New-Model-to-Tackle-the-Youth-Mental-Health-Crisis-in-Partnership-with-Pediatricians,,Business Wire
"RubyWell","2025-06-04","No news",,,,
"Atlantic Sea Farms",2022-03-16T00:00:00+00:00,Can Small Seaweed Farms Help Kelp Scale Up?,"Atlantic Sea Farms, the first commercial edible seaweed farm in the U.S.—founded in 2006 under the name Ocean Approved—is poised to take advantage of the moment. When Briana Warner, 37, took over as CEO in mid-2018, the Maine-based company was ...",https://civileats.com/2022/03/16/can-small-seaweed-farms-help-kelp-scale-up/,,Civil Eats
"Atlantic Sea Farms",2022-07-25T00:00:00+00:00,Seaweed helps Maine lobstermen ride the storm of climate change,"""They're ready for harvest,"" she declares. As the CEO and president of Atlantic Sea Farms, the 38-year-old Warner is using seaweed to quietly revolutionize Maine's struggling fishing industr",https://www.washingtonpost.com/food/2022/07/25/seaweed-maine-lobster-industry/,,The Washington Post
"VidaFuel",2020-10-30T00:00:00+00:00,Vidafuel Nutrition Closes Oversubscribed $1.075 Million Financing to Advance its Clinical Nutrition Brand,"Vidafuel, a company developing next-generation clinical nutrition products for use at-home and in the healthcare setting, announced it has closed an oversubscribed $1.075 million financing.",https://www.digitaljournal.com/pr/4861343,,Digital Journal
"VidaFuel",2018-05-29T13:18:00+00:00,"Jumpstart Foundry announces 2018 portfolio, brings startups to Nashville","Jumpstart Foundry brought 13 health care startups to Music City for two days of health care industry networking. Jumpstart Foundry announced its 2018 investment portfolio Tuesday, but the process ...",https://www.bizjournals.com/nashville/news/2018/05/29/jumpstart-foundry-announces-2018-portfolio-brings.html,,The Business Journals
"Aloqia",2025-04-03T02:18:00+00:00,Shein increases use of deadstock fabric by 40% in 2024,"Since 2022, Shein has sourced over 47,900 metres of deadstock fabric through Aloqia, leading to estimated savings of 357,600 cubic metres of water, 7,400 kilograms of chemicals, and 70 metric tons ...",https://www.msn.com/en-xl/news/other/shein-increases-use-of-deadstock-fabric-by-40-in-2024/ar-AA1CbCXN,,MSN
"Refiberd",2023-08-29T14:59:00+00:00,Refiberd sews up $3.4M seed round to use its AI to tackle textile waste,"It represents almost 6% of all solid waste in the U.S. ""It's crazy when you think about volumes here,"" Sarika Bajaj, co-founder and CEO of Refiberd, told TechCrunch+. For many years ...",https://techcrunch.com/2023/08/29/refiberd-textile-waste-sorting/,,TechCrunch
"Refiberd",2025-04-11T18:49:00+00:00,eBay invests $300k in Refiberd to boost circular fashion with AI,"eBay hopes the investment will enhance the reach of Refiberd's advanced AI system, which can identify the composition of textiles to ensure proper sorting and recycling. Refiberd uses its ...",https://www.msn.com/en-us/money/companies/ebay-invests-300k-in-refiberd-to-boost-circular-fashion-with-ai/ar-AA1CLdiz,,MSN
"Jiminy's",2021-09-21T00:00:00+00:00,Pets can help fight climate change with an insect-based diet. Owners just need to come around to the idea.,"A couple of years ago, Anne Carlson — the founder of Jiminy's, a dog food start-up — conducted a taste test with her dog, Timber. She filled half of his bowl with the meat-based food the ...",https://www.washingtonpost.com/climate-solutions/2021/09/21/pet-food-sustainable-bugs-insects/,,The Washington Post
"Jiminy's",2021-05-21T21:01:00+00:00,The 6 Best Dog Foods for Small Dog Breeds in 2021,"Among the best dog foods for small breeds are Blue Buffalo, Jiminy's and Merrick. Among the best dog foods for small breeds are Blue Buffalo, Jiminy's and Merrick. Our dogs mean everything to us ...",https://www.newsweek.com/6-best-dog-foods-small-dog-breeds-2021-1592986,,Newsweek
"Aeromutable","2025-06-04","No news",,,,
